Date,Bagasse_Generation,Bagasse_and_Diesel_Generation,Black_Coal_Generation,Coal_Seam_Methane_Generation,Grid_Generation,Kerosene_Generation,Natural_Gas_Generation,Solar_Generation,Solar__Generation,Waste_Coal_Mine_Gas_Generation,Water_Generation,Wind_Generation,RRP,RESDEMAND,weekday,month,year
2019-01-01,0.0,0.0,1671687.73489,9777.427239999999,0.0,0.0,106910.81036,58429.873176,9128.30772,20623.012628,43968.985,32223.88735,72.2859570770202,115674373.0,1,1,2019
2019-01-02,0.0,0.0,1732890.23703,16616.72722,0.0,0.0,164253.57687,60563.927264,8681.22181,21994.243772,44116.0925,23157.9801,82.59995861111112,123473992.0,2,1,2019
2019-01-03,0.0,0.0,1759565.36521,20776.63876,0.0,0.0,140623.19509,60621.53298,8791.61303,22191.593898,44146.07,9750.36004,89.22316253472222,122851746.0,3,1,2019
2019-01-04,0.0,0.0,1761437.80057,76513.61449,0.0,0.0,160314.01217,53621.279434,6751.24068,22490.500135000002,42617.6625,9406.85359,86.21522486111111,122740848.0,4,1,2019
2019-01-05,0.0,0.0,1733227.09721,64082.86128,0.0,0.0,115391.63126,55288.063115,7240.16585,22888.562831,41272.1925,8315.69346,79.56470145833333,118949941.0,5,1,2019
2019-01-06,0.0,0.0,1619712.61274,59983.17893,0.0,0.0,110342.05001,59662.959172,8699.66064,23686.0808,35149.3625,4002.77203,64.94516576388888,118035745.0,6,1,2019
2019-01-07,0.0,0.0,1704310.40422,51515.58227,0.0,0.0,147268.04565000001,57209.017393,5827.36037,23739.394084,35795.065,1214.23597,69.86220760416667,128110015.0,0,1,2019
2019-01-08,0.0,0.0,1743053.93461,11038.07798,0.0,0.0,153091.314,54312.890959000004,4390.03625,24313.819185,32633.4625,1751.67208,78.33226722222223,125989523.0,1,1,2019
2019-01-09,0.0,0.0,1755675.51104,14741.24915,0.0,0.0,157707.27234,45136.387139,3719.39522,25049.537536,35961.345,3693.91768,87.96649718750001,127459182.0,2,1,2019
2019-01-10,0.0,0.0,1737065.56176,8272.44025,0.0,0.0,150447.70814,23735.515341,7505.73524,25077.15006,37926.6075,4992.72801,83.48634809027779,128445442.0,3,1,2019
2019-01-11,0.0,0.0,1734929.27026,9683.075209999999,0.0,0.0,166638.39293,39830.25702,8918.92801,25012.306092,44090.3275,10078.22829,77.9148965625,125588050.0,4,1,2019
2019-01-12,0.0,0.0,1637683.74568,28430.51246,0.0,0.0,116500.86761,58457.640782,9297.25666,26549.924622000002,65276.15201,15345.24418,81.14626434027778,117347131.0,5,1,2019
2019-01-13,0.0,0.0,1687584.80204,5943.17918,0.0,0.0,104271.72258,56520.509097,9320.8869,26160.988144,43209.13,12895.704020000001,65.88305986111111,116969729.0,6,1,2019
2019-01-14,21.8,0.0,1818970.07074,69844.48223,0.0,0.0,204302.40315,45593.267735,9112.68926,25748.431211,38697.48,20026.14487,97.93107722222221,127666090.0,0,1,2019
2019-01-15,3464.200005,0.0,1839455.93065,92825.61782,0.0,0.0,196435.32811,53473.903039,8784.88027,25410.549829,37369.2425,17825.94877,112.34315902777779,128897671.0,1,1,2019
2019-01-16,3654.700006,0.0,1838337.12909,102354.61163,0.0,0.0,222471.88672,63473.157993,9128.4271,26002.605991,41860.424979999996,25367.66687,124.83732666666667,132112249.0,2,1,2019
2019-01-17,2217.600004,0.0,1837425.44445,96075.50319,0.0,0.0,232288.13117,62341.60593,8783.07137,25248.368179999998,43455.37239,24600.728900000002,121.87538777777779,132802622.0,3,1,2019
2019-01-18,0.0,0.0,1800126.45928,71332.80236,0.0,0.0,246630.63233,49200.596479,9209.52888,24754.05616,38283.7075,18041.57951,105.3235053125,132118576.0,4,1,2019
2019-01-19,0.0,0.0,1694040.89002,46525.96597,0.0,0.0,163541.81912,59072.354159,9208.78312,24981.831263,49781.04485,18437.66481,78.28922913194445,125391456.0,5,1,2019
2019-01-20,0.0,0.0,1684750.34256,6841.73392,0.0,0.0,160628.35651,62495.908746,9137.095730000001,25172.193636,43701.2775,24372.57108,70.73380878472223,123760183.0,6,1,2019
2019-01-21,38.1,0.0,1791664.6308,64157.71788,0.0,0.0,236649.15198,59177.873115,9062.15066,25587.337496,44833.60249,22300.34641,100.1108723263889,133688709.0,0,1,2019
2019-01-22,4575.099975,0.0,1821675.31544,80491.47089,0.0,0.0,252218.02829,58438.615942000004,9068.54244,25566.306207999998,48111.63237,20449.07429,123.2199573611111,134553469.0,1,1,2019
2019-01-23,5580.099987,0.0,1818309.07783,72335.83402,0.0,0.0,240168.99166,49543.757508,8620.15545,26329.831237000002,53866.94225,17276.0327,114.95521461805555,137787655.0,2,1,2019
2019-01-24,4969.1999909999995,0.0,1832179.5407,61034.73087,0.0,0.0,251385.86692,54954.01808,8068.45103,23856.906195,43259.975,17843.59523,100.28004971725623,139023745.0,3,1,2019
2019-01-25,5092.199963,0.0,1851444.16156,96122.14112,0.0,0.0,306946.85662,45573.217467,7233.76128,24116.768526,50976.5574,21699.69309,123.89343662396995,137639901.0,4,1,2019
2019-01-26,4791.3000059999995,0.0,1761400.81745,69639.27959,0.0,0.0,220996.14453,36949.360434,9095.86943,24284.42392,41331.67,38873.342,81.07936097222222,127247773.0,5,1,2019
2019-01-27,4015.300017,0.0,1752409.81016,35741.51549,0.0,0.0,246800.43383,30910.373244,9114.10278,23872.737177,40799.3775,28523.74236,78.3366621875,124849512.0,6,1,2019
2019-01-28,4717.699994,0.0,1802851.53649,38273.50127,0.0,0.0,247879.64599000002,17605.894975,8836.59902,24903.318454,51329.27987,2639.41659,108.30551930555555,125120962.0,0,1,2019
2019-01-29,2110.700004,0.0,1873389.84006,103779.34537,0.0,0.0,263083.49702,17694.088871,7049.43929,24987.755401000002,56107.204770000004,6523.93137,123.61329368055556,133296427.0,1,1,2019
2019-01-30,0.0,0.0,1882154.57014,107207.94837,0.0,0.0,253560.65171,12857.526626,8609.21372,24676.230456,46151.43743,4615.51637,118.41862565972222,132969925.0,2,1,2019
2019-01-31,0.0,0.0,1846385.4127500001,76926.62185,0.0,0.0,233119.70855,13282.241693,7004.60555,22710.656324,51589.63232,3150.06877,109.1446195486111,134251855.0,3,1,2019
2019-02-01,61.400000000000006,0.0,1794395.67365,11470.45623,0.0,0.0,187465.16281,20656.423443,8681.4565,24099.498963,44054.4375,3043.07792,82.11290447916666,133980747.0,4,2,2019
2019-02-02,4843.899995,0.0,1730109.58651,0.0,0.0,0.0,159124.71683,18546.997933,6117.81906,25271.169033,44078.3,5134.82888,71.50068666666667,123463474.0,5,2,2019
2019-02-03,5136.299996,0.0,1752209.42476,20711.97952,0.0,0.0,179715.84869,21451.564015,6997.84418,22578.356502000002,43943.24,1830.8173199999999,85.24876996527779,120178179.0,6,2,2019
2019-02-04,4207.799988,0.0,1818162.89877,42803.77211,0.0,0.0,283101.12419,18183.016814,8644.60436,25734.125244,47004.15995,4384.97065,94.11175156249999,130731887.0,0,2,2019
2019-02-05,3880.800015,0.0,1793570.13347,16251.99573,0.0,0.0,258134.41243,24611.8864,8147.98052,25749.669893,44102.915,5587.62553,81.27666635416666,130683747.0,1,2,2019
2019-02-06,2740.4,0.0,1811942.05,31408.57957,0.0,0.0,234234.37021,22666.367604,6110.40812,25225.544006,44132.195,6666.2907,92.10191274305555,130485782.0,2,2,2019
2019-02-07,0.0,0.0,1817835.57058,38026.01332,0.0,0.0,243739.07381,20773.020896,4406.33201,25925.356432,58749.79712,2538.66411,91.31935378472222,130120377.0,3,2,2019
2019-02-08,0.0,0.0,1804297.25994,18157.35743,0.0,456.74735999999996,229502.22599,32449.038565,7088.82932,26128.43142,49575.55238,3024.73114,93.22812107638889,130677159.0,4,2,2019
2019-02-09,3302.500005,0.0,1656120.98061,25097.73415,0.0,0.0,149015.62876,50198.873729,9883.25054,25651.0436,55241.43467,1971.99193,85.52325585322068,125778257.0,5,2,2019
2019-02-10,3552.100043,0.0,1650680.10576,11359.58759,0.0,0.0,168982.84511,54587.555255,9023.40224,25154.537662000002,44796.0975,6838.36311,87.04836243055554,126113034.0,6,2,2019
2019-02-11,0.0,0.0,1690394.26973,45937.47142,0.0,0.0,258855.50127,60309.518488,8320.01368,20085.974524,42744.37248,9559.66808,93.89051479166666,135631731.0,0,2,2019
2019-02-12,0.0,0.0,1724271.30274,71831.61252,0.0,0.0,261411.28691,63403.703467,8599.6317,17372.168743000002,47333.557310000004,7474.06186,88.5553969858877,140911195.0,1,2,2019
2019-02-13,4050.100008,0.0,1730517.3636,72969.02095,0.0,18272.71186,301574.73563999997,64825.997886,8653.34875,17590.09976,54546.774769999996,2608.55135,101.99452724589646,146399352.0,2,2,2019
2019-02-14,5120.200003,0.0,1692495.37195,40158.42205,0.0,0.0,258756.97337999998,57154.852448,9392.21514,16513.143886,44122.7125,2004.19868,93.0695309375,139897665.0,3,2,2019
2019-02-15,4521.100001,0.0,1683581.59156,21726.98273,0.0,0.0,209690.00714,54905.022866,9436.64686,17097.881361,44144.28,6402.6957,87.44904222222222,131592445.0,4,2,2019
2019-02-16,3731.799982,0.0,1630745.2645400001,15937.98209,0.0,0.0,151322.61332,60484.689942,10268.0282,20888.412756,44147.155,9821.85476,75.64689711805555,118929288.0,5,2,2019
2019-02-17,2672.0,0.0,1676080.5052,26578.94307,0.0,0.0,138660.5605,54156.661597,10056.07082,24636.224937,44149.74,1423.48325,79.61522267361111,117336382.0,6,2,2019
2019-02-18,3948.300001,0.0,1717973.77466,44306.93542,0.0,0.0,202018.18961,61263.598921,9881.190980000001,25233.206339,44138.4175,46.71468,90.56221590277778,129317749.0,0,2,2019
2019-02-19,0.0,0.0,1743111.0383900001,63609.02149,0.0,0.0,224316.13145,60906.881819,7149.67378,24646.619284,51288.40489,5535.87852,97.68756659722222,133883347.0,1,2,2019
2019-02-20,3.3,0.0,1724524.23449,58195.60905,0.0,0.0,259615.81693,65579.194944,8682.37025,23433.344111,51293.24242,9151.72819,99.93660392361112,138149620.0,2,2,2019
2019-02-21,4944.800012,0.0,1708583.66435,49100.724239999996,0.0,0.0,287167.72054999997,64648.7924,8584.38888,23137.449795,51795.80485,9892.97199,93.21265475694445,141068356.0,3,2,2019
2019-02-22,3325.100014,0.0,1626298.30323,11518.77679,0.0,0.0,259295.87675,60879.306877,9076.2031,23357.787087,44167.635,3856.60957,79.1123196875,132790254.0,4,2,2019
2019-02-23,4260.599988,0.0,1666207.9734,6213.37399,0.0,0.0,109693.58229,50936.883249,9915.58808,24565.175315,44127.965,10806.48128,65.27762107638888,118319269.0,5,2,2019
2019-02-24,718.4,0.0,1668399.31112,5169.87738,0.0,0.0,113700.26722000001,48636.674819,9565.69355,24359.099972,48696.40489,22559.50951,49.050069725927756,114881807.0,6,2,2019
2019-02-25,0.0,0.0,1743023.4896799999,8060.54644,0.0,0.0,143934.10079,62190.774363,7589.38202,24427.625043,44156.9275,29579.75652,67.26595208333333,123530218.0,0,2,2019
2019-02-26,0.0,0.0,1702810.74064,6680.195110000001,0.0,0.0,143970.16639,63288.663237,9376.77441,24546.225113,50855.86485,33879.08513,78.64732190972222,123276603.0,1,2,2019
2019-02-27,0.0,0.0,1718529.59999,0.0,0.0,0.0,144682.45894,55834.903195,8466.99696,25069.424837,44137.4325,23398.0171,73.204023125,123476925.0,2,2,2019
2019-02-28,3966.700009,0.0,1721627.97997,8022.93124,0.0,0.0,200652.11965,60053.266833,7211.87121,25941.018582,45082.99249,24180.33862,75.73286722222223,122856476.0,3,2,2019
2019-03-01,5416.599981,0.0,1746142.48833,7463.92027,0.0,0.0,260920.41133,50609.213171999996,6367.47368,25336.693084,46166.12247,20865.90111,73.6901001388889,121721698.0,4,3,2019
2019-03-02,4897.199985,0.0,1686861.42629,0.0,0.0,0.0,160358.99011,58105.795638999996,5178.36553,24739.980687,44180.485,22290.7003,58.41091336805555,114072861.0,5,3,2019
2019-03-03,3785.300026,0.0,1699182.57222,29610.68763,0.0,0.0,126776.96378,55753.956138,7876.81195,25809.863089,44163.085,23942.35801,64.40368309027778,113509612.0,6,3,2019
2019-03-04,454.40000000000003,0.0,1767707.94375,60699.50746,0.0,0.0,215516.73202,47623.045234,9307.939690000001,25151.655657,48011.98491,23616.9248,80.11157899305556,124272696.0,0,3,2019
2019-03-05,1708.2,0.0,1746256.11239,61966.65994,0.0,0.0,281071.33672,55425.655997,7456.63546,25622.618422,45495.41743,13511.21334,75.73323753472222,126152582.0,1,3,2019
2019-03-06,1033.2,0.0,1767361.81714,46281.71509,0.0,0.0,306420.47142,32501.920024,9143.30785,24633.381518,47814.68734,2749.3676,84.02977656999025,129483569.0,2,3,2019
2019-03-07,38.3,0.0,1782605.31959,13901.848100000001,0.0,0.0,251920.65131000002,51367.540235,8556.40628,24134.818875,45592.81992,15196.62409,81.57459614583333,129986863.0,3,3,2019
2019-03-08,3612.100002,0.0,1797978.43573,28900.7185,0.0,0.0,240674.82786,38484.355792,7963.03628,19870.081149999998,46484.03743,14535.65774,82.61833871527777,126302373.0,4,3,2019
2019-03-09,3042.300003,0.0,1729593.3520499999,13073.6789,0.0,0.0,219458.45879,47947.857903,9922.84635,14445.262602,41959.0575,18842.11311,72.87788538194444,118160327.0,5,3,2019
2019-03-10,2578.4,0.0,1648359.82358,17472.43991,0.0,0.0,215336.61367,71223.517857,7315.38268,14353.049987,48583.35739,14379.828730000001,70.37997079044118,119765760.0,6,3,2019
2019-03-11,688.6,0.0,1689674.86488,81472.02682,0.0,0.0,312992.58207,71253.63756,7528.55473,20749.806344,41877.8425,11087.54258,84.27701760416666,137115990.0,0,3,2019
2019-03-12,0.0,0.0,1632408.84253,80525.72059,0.0,0.0,352678.63361,68098.91639,8065.57357,23314.30619,55404.40973,1781.72229,79.9026745486111,139535441.0,1,3,2019
2019-03-13,0.0,0.0,1663920.12935,58640.621250000004,0.0,0.0,337367.42667,72347.935781,9085.26312,20696.850069,39774.56,6170.42545,81.65236381944445,135881657.0,2,3,2019
